student_id,age,gender,branch,year,cgpa,attendance,backlogs,internships,projects,certifications,coding_problems,python,sql,java,dsa,machine_learning,power_bi,excel,communication_score,aptitude_score,placement
STU1000,20,Male,Computer Science,3,7.39,83.7,0,0,1,0,26,0,1,1,1,0,1,0,50.9,49.6,1
STU1001,22,Female,Computer Science,3,9.99,73.2,0,1,2,0,125,1,1,0,1,1,0,1,89.1,76.0,1
STU1002,21,Other,Mechanical Eng,4,9.19,69.8,0,1,0,1,54,1,1,0,1,0,1,1,58.8,46.2,1
STU1003,21,Male,Electrical Eng,3,5.76,79.4,4,0,0,2,10,0,1,1,0,0,1,0,79.3,70.9,0
STU1004,20,Female,Information Technology,4,8.03,94.5,0,3,0,5,21,1,0,1,0,0,0,1,76.2,57.2,1
STU1005,20,Female,Information Technology,4,7.6,86.6,1,0,2,2,89,1,0,1,1,0,1,1,65.5,59.1,1
STU1006,19,Female,Electronics & Comm,4,8.51,72.9,0,0,2,2,99,0,1,0,1,0,0,1,79.6,62.0,1
STU1007,22,Male,Computer Science,4,6.78,64.6,0,0,0,1,195,0,1,1,1,0,1,1,50.8,72.5,1
STU1008,21,Female,Computer Science,4,6.68,61.2,1,0,1,1,120,1,1,1,1,1,0,0,61.4,88.4,1
STU1009,21,Male,Computer Science,3,6.86,91.2,0,4,4,0,77,1,1,1,1,1,1,1,37.0,66.7,1
STU1010,19,Male,Computer Science,3,6.97,68.4,0,0,1,2,101,1,1,1,0,0,1,1,69.4,54.2,1
STU1011,22,Male,Electrical Eng,4,8.5,74.7,0,1,1,2,83,1,1,0,0,0,0,1,56.9,43.4,1
STU1012,21,Female,Computer Science,3,6.3,91.2,2,2,2,1,23,1,1,1,1,1,0,0,98.7,82.4,0
STU1013,20,Female,Computer Science,4,6.92,61.9,1,1,4,4,192,1,1,1,1,0,1,1,68.8,67.6,1
STU1014,20,Female,Electronics & Comm,4,5.63,92.9,0,1,1,8,67,1,1,0,1,0,1,1,79.5,61.5,1
STU1015,20,Female,Mechanical Eng,4,8.71,75.5,0,2,6,0,6,1,1,1,0,1,1,1,77.1,65.9,1
STU1016,20,Male,Computer Science,4,9.0,66.5,0,2,2,0,300,1,0,1,1,0,0,1,66.9,76.5,1
STU1017,21,Male,Computer Science,4,7.24,75.5,3,0,2,4,300,1,1,0,1,0,0,1,81.9,58.8,1
STU1018,20,Male,Information Technology,4,7.27,70.8,1,1,1,1,79,1,1,1,1,0,1,1,68.5,55.0,1
